,precipitation_AWAP,precipitation_SILO,et_morton_wet_SILO,qtot,streamflow_mmd
1975-06-17,0.00217544,0.0,1.19087724,0.0642186426543915,0.49375912
1975-06-18,0.0,0.0,0.81192984,0.0534939351109117,0.49341381
1975-06-19,0.00722807,0.0,0.67782456,0.045895772333277,0.48960696
1975-06-20,0.0477193,0.0,0.59628071,0.0416755423783802,0.49197361
1975-06-21,0.30273685,0.29494738,0.5,0.047479847900848,0.48901741
1975-06-22,0.54014035,0.16301755,0.64428071,0.0621283643355133,0.47718978
1975-06-23,0.14842105,0.03508772,0.58968423,0.0568805320059115,0.47238911
1975-06-24,0.17473685,0.12757895,1.10210529,0.0536708400115946,0.47512914
1975-06-25,0.59101755,0.03866667,0.30000001,0.066561698708456,0.47435991
1975-06-26,1.80624562,0.77684212,0.80000001,0.1348537795394982,0.47251544
1975-06-27,0.5391579,0.9777544,0.64540352,0.12469382589532,0.46994385
1975-06-28,11.04624564,12.18722816,0.55200001,0.6960538261910749,0.47069343
1975-06-29,5.33185962,1.91677198,0.67522807,0.7913292963737232,0.7301151
1975-06-30,1.33333333,0.08680702,0.59649125,0.6419060708578033,0.58323695
1975-07-01,0.14007018,0.2237193,0.94421055,0.4786788055947638,0.51615385
1975-07-02,0.0,0.0,1.22203514,0.3553853731706055,0.49407355
1975-07-03,0.33382457,0.2508772,0.6000702,0.2771148267298022,0.48161426
1975-07-04,0.32708773,0.07782456,0.92217546,0.2189548964057561,0.47937675
1975-07-05,2.4748772,1.30778949,0.67347369,0.2798141479044725,0.48475856
1975-07-06,7.39010532,6.29235097,0.29782457,0.609793995802166,0.50766704
1975-07-07,25.11073665,25.03971992,0.30000001,1.943722656344396,1.20657496
1975-07-08,6.49326319,8.02715801,0.65782456,1.8263870106336988,1.26620719
1975-07-09,0.18722807,0.24364913,0.80000001,1.3553348334695925,0.97112296
1975-07-10,0.0,0.0,0.90000004,0.9956192151437042,0.74176586
1975-07-11,8.01228075,8.95768436,0.30000001,1.196150884329184,0.67634475
1975-07-12,5.07459645,3.44631587,0.60000002,1.1727441145660076,0.96195677
1975-07-13,69.67614002,66.94863358,0.39424562,6.815300241730888,5.6698484
1975-07-14,38.69803515,35.80449157,0.72189474,11.677545859994147,14.67484559
1975-07-15,8.56736835,8.90757921,0.64308773,10.422124147046958,6.12728804
1975-07-16,1.96694735,2.73045618,0.86301757,7.878988416875238,3.36148231
1975-07-17,0.0,0.0,0.68470175,5.753304209219578,2.25948063
1975-07-18,0.26708772,0.16428071,1.12028073,4.212867929156657,1.91498316
1975-07-19,0.38021053,0.08294737,0.7588772,3.093957272637148,1.64648231
1975-07-20,3.71957899,4.30603514,0.89543862,2.4572084994582446,1.56713644
1975-07-21,2.50308771,1.15361407,0.91775441,1.9220009951305568,1.40489332
1975-07-22,1.04378949,0.02147368,1.0,1.4550011705980312,1.26354576
1975-07-23,0.0,0.0,1.33705267,1.0699607278020895,1.15009264
1975-07-24,0.0,0.0,0.98905264,0.7888789129807539,1.05053902
1975-07-25,0.01445614,0.05305263,0.95424563,0.584100377993321,0.97718697
1975-07-26,0.0,0.0,1.4502456,0.434029933123766,0.91785794
1975-07-27,0.0,0.0,1.29782463,0.3243441401019369,0.86964907
1975-07-28,0.0,0.0,1.28624568,0.2441353779817936,0.83182762
1975-07-29,1.51705263,1.42589476,1.37136842,0.2531796931208016,0.80246491
1975-07-30,0.31501755,0.18785965,0.99873684,0.202327439155728,0.79359349
1975-07-31,1.91712279,2.66077198,0.75550877,0.2446929653355979,0.74489051
1975-08-01,10.99564917,9.84694755,1.40322805,0.826333242030354,1.02905109
1975-08-02,0.0,0.0,0.61522809,0.6093235725020973,0.80706625
1975-08-03,39.56112311,33.52722896,0.36870176,3.43894299816858,1.75865525
1975-08-04,12.23221056,9.51003525,0.8637895,4.164464802933979,4.57091522
1975-08-05,6.7079298,6.59010537,0.99368423,4.089359484422058,2.14573273
1975-08-06,2.94750875,2.1818246,1.35242107,3.268452183250981,1.94721505
1975-08-07,0.0,0.0,1.77719305,2.394092393197308,1.67053341
1975-08-08,0.0,0.0,1.04701756,1.755787834545092,1.47379281
1975-08-09,0.39298246,0.87143862,1.61487722,1.3042609055131298,1.36418304
1975-08-10,4.21677192,3.71326319,1.08357898,1.1899403716478043,1.26886861
1975-08-11,19.72561394,16.4314389,0.49150878,2.5238461431265367,1.56713644
1975-08-12,12.04414033,10.10849143,1.1769825,3.819274074584613,2.37933745
1975-08-13,0.03845614,0.01887719,2.02821057,2.815934324003594,1.91320887
1975-08-14,0.0,0.0,2.2622456,2.0609315874105074,1.61523863
1975-08-15,0.0,0.0,2.08849132,1.5107450419813448,1.46413251
1975-08-16,0.0,0.0,2.03705269,1.1097633375990623,1.36714206
1975-08-17,0.00217544,0.0,2.01929828,0.8174229793451713,1.27409321
1975-08-18,0.0,0.0,1.73614041,0.6041312408766407,1.18538181
1975-08-19,0.0,0.0,0.9828772,0.4484472326077486,1.11667883
1975-08-20,1.06582456,0.78266668,0.97115791,0.3819815040438518,1.05261089
1975-08-21,17.10498256,16.2124915,0.99810528,1.3588666293690794,1.35107524
1975-08-22,9.8670175,10.21705288,0.87536844,1.6649308652061865,1.72957608
1975-08-23,13.40189485,14.49901787,0.99368424,2.6184553300266837,1.91932061
1975-08-24,3.62028069,4.26807025,2.03782462,2.3103090449234465,2.32995508
1975-08-25,2.05305266,0.01326316,1.30000007,1.8171505338320657,1.80547445
1975-08-26,3.75010528,2.86056145,0.77361404,1.5670653018478575,1.61227962
1975-08-27,22.0760001,22.74708828,1.3072281,4.119653420276576,2.85188097
1975-08-28,4.95614036,5.34161417,1.31971934,3.8092723828427006,2.83778776
1975-08-29,1.96070174,2.6477895,1.10000002,2.919280569984452,2.2853032
1975-08-30,1.71726315,1.05670178,2.0809124,2.2280392780866154,2.02774565
1975-08-31,0.0,0.0,2.37431586,1.633696676657686,1.81414935
1975-09-01,0.0,0.23059649,1.52456141,1.2001517138138509,1.64618754
1975-09-02,8.62294744,5.89178958,2.42982461,1.4227206752817978,1.60281864
1975-09-03,13.41080702,15.5138952,1.18687724,2.175346402042307,1.60961819
1975-09-04,5.28673686,6.78063172,1.48049123,2.18237369531027,2.58130545
1975-09-05,0.89368421,0.73564914,2.575579,1.645243086698459,1.74850084
1975-09-06,0.0,0.0,2.40652634,1.2067551757397916,1.55097136
1975-09-07,0.0,0.0,2.82470175,0.8871992514701083,1.45762774
1975-09-08,0.0,0.0,2.79845612,0.6543024234208212,1.37857383
1975-09-09,0.0,0.0,2.95838601,0.4845013523798862,1.28286637
1975-09-10,1.34175438,1.72098249,2.83347372,0.4248507797667747,1.21406513
1975-09-11,0.01094737,0.00617544,3.53621058,0.3174748900304978,1.17335486
1975-09-12,1.6334737,1.86322812,2.55438604,0.322278427301382,1.09400898
1975-09-13,9.54028069,14.11193002,1.20982461,0.846012490672258,1.06985963
1975-09-14,24.4352282,21.60119348,2.45852637,2.5029684352116046,2.58928972
1975-09-15,0.03459649,0.0,3.44021057,1.8768992771899828,1.95066536
1975-09-16,2.65754386,0.76077194,1.23143865,1.5281023957493018,1.51380966
1975-09-17,18.26975433,19.10821094,3.33529828,2.8904089589719586,2.48904548
1975-09-18,24.31993022,26.83845647,1.87866672,5.749993968800895,3.20839416
1975-09-19,9.104421,7.37354396,2.13207021,5.753380124479498,4.01240876
1975-09-20,2.00428068,1.16407019,2.46014043,4.380010394359793,2.93921954
1975-09-21,0.85663157,1.01312283,1.05101756,3.2485722516504656,2.42960696
1975-09-22,6.38105265,8.1933335,2.92435093,2.8229090069176994,2.43364964
1975-09-23,1.67108772,1.71585969,2.27529827,2.160228512328722,2.05258563
1975-09-24,0.56049123,0.44512281,3.54842111,1.6099457913759705,1.90552218
1975-09-25,0.0,0.0,3.74407021,1.184325793550668,1.66087591
1975-09-26,0.90196491,1.01375441,3.25901755,0.915819734481892,1.53943852
1975-09-27,0.0,0.0,1.8816842,0.6770854746355568,1.45900618
1975-09-28,18.3881406,16.47957914,3.02392989,1.7844486477377524,1.58369455
1975-09-29,1.22350877,0.33740352,1.3301053,1.3842983569240574,2.02035373
1975-09-30,15.28729819,15.25200012,2.77200003,2.359081425401739,2.05278214
1975-10-01,0.06722807,0.00091228,3.42175441,1.735845017932605,1.79591241
1975-10-02,0.16463158,0.00652632,2.24000001,1.2795985836219437,1.55688377
1975-10-03,4.33045611,2.69564916,3.50701761,1.208947264909426,1.49449186
1975-10-04,0.12856141,0.0597193,4.16512292,0.8936997656366044,1.38853172
1975-10-05,0.0,0.0,4.2782458,0.6589454315687148,1.28592083
1975-10-06,0.0,0.0,4.43621059,0.4878044031370351,1.20164514
1975-10-07,0.00210526,0.0,2.40105272,0.3631183545463097,1.13540707
1975-10-08,11.56673686,10.59038617,1.27992986,1.0468369192280431,1.13560359
1975-10-09,20.68252637,20.84870218,1.79901759,2.465035658092838,1.97353172
1975-10-10,11.02196488,10.5094036,2.86217548,3.029266943443194,2.28905109
1975-10-11,3.57199999,6.09115798,1.58961406,2.523982885780764,2.06579169
1975-10-12,21.26098237,15.11817574,2.15635095,4.434582558953868,3.83489613
1975-10-13,6.76828064,5.26842113,2.07312291,4.179747582054773,3.29475014
1975-10-14,3.30245613,4.50189482,2.95094741,3.3419667740670533,2.6304913
1975-10-15,0.34905264,0.22245615,3.05438605,2.4614077350965786,2.31388827
1975-10-16,0.0,0.0,2.34077196,1.8053179544575568,2.00379281
1975-10-17,1.17985965,0.94933336,4.50294737,1.385582794360522,1.833863
1975-10-18,0.0,0.0,4.77915808,1.019972663232369,1.68453116
1975-10-19,0.0,0.0,2.55445618,0.7529166940061153,1.56496631
1975-10-20,0.63663158,1.2617544,2.81256137,0.5864540057519418,1.51883773
1975-10-21,38.92203491,34.73150942,2.23277201,3.8260399915425687,2.57144862
1975-10-22,9.42666676,4.47178955,4.80477198,4.225582459608168,3.58888265
1975-10-23,0.008,0.0,2.49656141,3.091531844899707,2.31921112
1975-10-24,37.90561432,35.26526429,2.45263163,8.058949184542243,2.56149354
1975-10-25,42.3320701,41.54779018,1.40589476,13.897770059113604,12.25499719
1975-10-26,24.58996484,23.14680745,2.31775438,15.220340657393596,17.0493543
1975-10-27,2.51326316,1.76084213,5.09789464,11.525420980097811,8.5998877
1975-10-28,0.0,0.0,4.56203515,8.396660836057945,5.5356822
1975-10-29,0.0,0.0,4.37354397,6.121587590364968,4.16726558
1975-10-30,0.12035088,0.02561404,2.25642105,4.4718720124036215,3.55308815
1975-10-31,7.5831579,5.71122818,2.85235091,3.776585977358538,3.1451151
1975-11-01,7.67985967,12.57852653,4.39066674,3.279918999754976,3.61083661
1975-11-02,1.39922807,0.50182456,4.43410537,2.4709044039868244,2.57430657
1975-11-03,2.57691228,0.15466667,2.8737544,1.9579746286655664,2.19126895
1975-11-04,10.47817538,10.03108799,3.14891234,2.177204629255672,2.67612577
1975-11-05,7.49473683,8.25726335,3.54631584,2.141004203210509,2.38347838
1975-11-06,4.79817543,4.38007021,3.09915794,1.9114565482554773,2.21571589
1975-11-07,2.15333334,3.99740353,4.30624573,1.5322318332985816,1.94790567
1975-11-08,1.99677193,0.6969123,3.66708778,1.2420539000926976,1.82962381
1975-11-09,0.0,0.0,2.95894741,0.9133946413542996,1.73716732
1975-11-10,0.08084211,0.00238596,5.7970528,0.6768727011321412,1.64214767
1975-11-11,0.0,0.0,6.08912287,0.5011793799468224,1.55432341
1975-11-12,0.0,0.0,6.28259662,0.3729981805096811,1.48611173
1975-11-13,0.01361404,0.0,5.86561413,0.2797967092922272,1.42638125
1975-11-14,1.1117193,1.45438599,4.77087741,0.26889784223275,1.4495452
1975-11-15,0.19066667,0.16266667,3.89017545,0.2100408054927321,1.35698765
1975-11-16,0.72828071,0.3668772,6.04870188,0.1940048462678016,1.33451432
1975-11-17,0.00659649,0.0,6.11747373,0.1486343657541657,1.26630545
1975-11-18,0.0,0.0,5.69333344,0.1153473485564432,1.21298147
1975-11-19,0.0,0.0,6.08989476,0.0910349865461938,1.18232454
1975-11-20,0.1237193,0.0,5.29810546,0.0778233327186273,1.14871421
1975-11-21,0.2631579,0.22673685,6.17571938,0.0734663863480309,1.1992785
1975-11-22,0.15522807,0.19122807,5.0392983,0.0666376566165841,1.1442785
1975-11-23,0.36470176,0.42210527,4.22091232,0.0692270650986058,1.11608928
1975-11-24,0.92568421,1.22421055,5.93382462,0.1019233947536544,1.16793375
1975-11-25,0.0,0.0,4.72056148,0.0809170730891251,1.075379
1975-11-26,0.01880702,0.00652632,5.5364913,0.066236223868182,1.03900898
1975-11-27,0.0,0.0,6.3173335,0.0549735375414379,1.01544919
1975-11-28,0.0,0.0,6.85971941,0.0467772069798616,0.99859349
1975-11-29,0.0,0.0,7.30933349,0.0408097441233214,0.97196238
1975-11-30,0.0,0.0,5.84280715,0.0364633424563892,0.94731892
1975-12-01,16.00968422,14.05073713,6.35978958,1.1414224826119563,1.06995789
1975-12-02,0.28905264,0.21284211,6.2756493,0.8496130799161228,1.261968
1975-12-03,2.14168419,2.19192987,3.81403513,0.7430646159104228,0.98962381
1975-12-04,13.62021048,11.91052651,6.45901759,1.4787646866697175,1.17168164
1975-12-05,0.0,0.0,4.9638597,1.0819030073442844,1.12190343
